,qid1,qid2,question1,question2,is_duplicate
103,1674,1671,What are the minimal components of a self-determined constitution?,What are the benefits/drawbacks of a weighted vote based upon federal taxes paid?,1
104,3271,1671,"Why does ""meritocracy"" / ""capitalism"" co-exist with ""democracy""?",What are the benefits/drawbacks of a weighted vote based upon federal taxes paid?,1
105,19446,1671,Vote weighting based on fiscal contribution,What are the benefits/drawbacks of a weighted vote based upon federal taxes paid?,1
106,19446,1671,Vote weighting based on fiscal contribution,What are the benefits/drawbacks of a weighted vote based upon federal taxes paid?,1
107,46469,1671,Election reform,What are the benefits/drawbacks of a weighted vote based upon federal taxes paid?,1
108,46469,1671,Election reform,What are the benefits/drawbacks of a weighted vote based upon federal taxes paid?,1
109,457,450,Does campaign spending correlate with popular vote?,"In the US, why are corporations people?",1
110,465,450,What arguments can be given in favour of financial barriers for participation in elections or electoral debates?,"In the US, why are corporations people?",1
111,3444,450,How do international corporations have the right to free speech?,"In the US, why are corporations people?",1
112,468,467,"Does any research suggest that two-party systems lead to convergence of platforms, divergence, or otherwise?",Is the United States primary system detrimental to moderate candidates?,1
113,481,351,What is the difference between Democracy and Ochlocracy,Which are the symptoms of a decadent Democracy degenerating to Ochlocracy?,1
114,481,351,What is the difference between Democracy and Ochlocracy,Which are the symptoms of a decadent Democracy degenerating to Ochlocracy?,1
115,14749,351,What electoral mechanisms might prevent the rise of a demagogue?,Which are the symptoms of a decadent Democracy degenerating to Ochlocracy?,1
116,14803,351,What mechanisms exist to prevent democracy turning into ochlocracy or tyranny of the majority?,Which are the symptoms of a decadent Democracy degenerating to Ochlocracy?,1
117,489,31017,Are there any solid representative district planning strategies that can avoid gerrymandering?,"What is the proper (non-""Gerrymandering"") purpose of political districting?",1
118,501,499,"Is it possible to leave EU but remain in Eurozone, legally?",What would be the steps necessary for a country to leave the E.U.?,1
119,9736,499,Can a state be forced to leave the European Union?,What would be the steps necessary for a country to leave the E.U.?,1
120,509,482,"If robotics starts replacing human workers, what will the less wealthy workers do?",What are the reasons for people to oppose Basic Income Guarantee?,1
121,1653,482,Why don't we pay food stamps and unemployment benefits indefinitely to stimulate the economy?,What are the reasons for people to oppose Basic Income Guarantee?,1
122,550,1200,Prohibition on incestual marriage vs same sex marriage - what does the data say?,Are clergy required to perform interracial and/or same-sex marriages in the United States?,1
123,2471,1200,Does the first amendment protect business owners from being forced to work for protected classes?,Are clergy required to perform interracial and/or same-sex marriages in the United States?,1
124,577,80,Why do party's candidature requirements exist in some countries?,What criteria does a US Presidential candidate need to meet in order to appear on the ballot?,1
125,25481,80,Are there technical constraints in place that would prevent Harvey Weinstein from running for (and winning) US President?,What criteria does a US Presidential candidate need to meet in order to appear on the ballot?,1
126,25481,80,Are there technical constraints in place that would prevent Harvey Weinstein from running for (and winning) US President?,What criteria does a US Presidential candidate need to meet in order to appear on the ballot?,1
127,595,586,Must all democratic countries have a constitution?,Do/did non-dictatorial Communist societies exist?,1
128,1379,586,Do/did non-dictatorial Capitalist societies exist?,Do/did non-dictatorial Communist societies exist?,1
129,25743,586,Is China really Communist?,Do/did non-dictatorial Communist societies exist?,1
130,27815,586,"Did ""socialism with a human face"" actually exist in practice?",Do/did non-dictatorial Communist societies exist?,1
131,31342,586,What specifically is the difference between Socialism and Fascism?,Do/did non-dictatorial Communist societies exist?,1
132,607,85,Why does the EU keep Turkey out?,What are the key factors for the rise of nationalism in Europe?,1
133,636,668,Forming national-agreement government in Nepal?,"What legitimizes the Maoists in Nepal, now that the government has expired?",1
134,666,667,Are there modern examples of plural voting?,What are the reasons against plural voting?,1
135,736,667,What are the most known examples of weighed voting that are practiced in democratic countries?,What are the reasons against plural voting?,1
136,667,736,What are the reasons against plural voting?,What are the most known examples of weighed voting that are practiced in democratic countries?,1
137,771,736,Does any other governmental body have constituencies similar to Seanad Éireann?,What are the most known examples of weighed voting that are practiced in democratic countries?,1
138,736,666,What are the most known examples of weighed voting that are practiced in democratic countries?,Are there modern examples of plural voting?,1
139,744,727,Has a government minted this much money at once before?,How would the trillion-dollar coin save the United States' economy?,1
140,24013,727,"The US has done lots of Quantitative Easing, so why does it not do the same for its debt?",How would the trillion-dollar coin save the United States' economy?,1
141,760,20494,What are the practical effects of having too large a debt load?,What steps can be taken to combat unfunded state and federal pension liabilities in the U.S.?,1
142,765,766,Could the US legally adopt Indonesia's 'religion in schools' setup?,"Is it illegal for a U.S. government to put up a ""Christmas"" tree?",1
143,809,316,Risks from proliferation of Unmanned Combat Air Vehicles (drones),Are there any proposed systems of running the government like a corporation?,1
144,809,807,Risks from proliferation of Unmanned Combat Air Vehicles (drones),Why is France involved in Mali?,1
145,15194,807,Why does Russia always put importance on world dominance rather than economic development?,Why is France involved in Mali?,1
146,837,838,Could anyone tell me why the United States has not ratified the CEDAW?,What would it take for the U.S. to ratify the Convention on the Rights of the Child?,1
147,883,862,Why is proportional representation not considered in any of the US states?,Why is redistricting not an automated process?,1
148,883,848,Why is proportional representation not considered in any of the US states?,What makes California a Democrat state?,1
149,883,489,Why is proportional representation not considered in any of the US states?,Are there any solid representative district planning strategies that can avoid gerrymandering?,1
150,31017,489,"What is the proper (non-""Gerrymandering"") purpose of political districting?",Are there any solid representative district planning strategies that can avoid gerrymandering?,1
151,883,688,Why is proportional representation not considered in any of the US states?,Which US states give proportional Presidential electoral college votes to candidates?,1
152,3431,688,Why isn't the alternative vote standard for most nations?,Which US states give proportional Presidential electoral college votes to candidates?,1
153,8931,688,Winning the US presidential election without majority vote due to TWO reasons?,Which US states give proportional Presidential electoral college votes to candidates?,1
154,13274,688,What's the reason not all US states have proportional electoral college vote?,Which US states give proportional Presidential electoral college votes to candidates?,1
155,902,883,What is the magnitude of election fraud in the US?,Why is proportional representation not considered in any of the US states?,1
156,34103,883,How do we know U.S. elections are free and fair with accurate counting of the popular votes?,Why is proportional representation not considered in any of the US states?,1
157,929,410,Why has the United States not signed and ratified the International Criminal Court?,What is the legality of using foreign law to decide domestic cases?,1
158,935,694,Are internet petitions a practical way to accomplish grass roots political goals?,"Have any of the ""We the People"" petitions ever resulted in policy changes?",1
159,7935,694,What is the success / failure ratio of online petitions?,"Have any of the ""We the People"" petitions ever resulted in policy changes?",1
160,939,934,When are Russian federal elections held?,How often do elections occur on or near Yom Kippur?,1
161,950,951,Why would a state reject federal funding for infrastructure?,"In the US, are there any groups proposing unsubsidised infrastructure?",1
162,957,960,(Why) are policies aimed at sustainability often associated with progressive/left-wing politics?,What policies for ecological sustainability have been proposed by conservative or economically libertarian political groups?,1
163,24494,960,Are there any studies on the effect of political power centralization on sustainability?,What policies for ecological sustainability have been proposed by conservative or economically libertarian political groups?,1
164,960,957,What policies for ecological sustainability have been proposed by conservative or economically libertarian political groups?,(Why) are policies aimed at sustainability often associated with progressive/left-wing politics?,1
165,24494,957,Are there any studies on the effect of political power centralization on sustainability?,(Why) are policies aimed at sustainability often associated with progressive/left-wing politics?,1
166,965,20029,"If a president does extra-constitutional things, what can be done?",Do DOJ regulations prohibit a Special Counsel from indicting the President?,1
167,996,25236,Do any diversity immigrant visas exist outside the USA?,Do any countries have a 100 open immigration policy?,1
168,29932,25236,Are Jews fleeing France able to flee to any countries other than Israel?,Do any countries have a 100 open immigration policy?,1
169,1003,1013,Does any present legislation practice exile as a regular sentence?,"What does European Union ""freedom of movement"" mean, and how much can individual countries restrict intra-EU immigration?",1
170,8531,1013,How would a country leaving the EU be worse off economically?,"What does European Union ""freedom of movement"" mean, and how much can individual countries restrict intra-EU immigration?",1
171,10607,1013,What does 'regaining control of our borders' in Brexit campaigns actually mean for non-EU immigrants to the UK?,"What does European Union ""freedom of movement"" mean, and how much can individual countries restrict intra-EU immigration?",1
172,26825,1013,Difference in Brexit terms,"What does European Union ""freedom of movement"" mean, and how much can individual countries restrict intra-EU immigration?",1
173,34248,1013,Does the EU mandate certain requirements for citizenship of member states?,"What does European Union ""freedom of movement"" mean, and how much can individual countries restrict intra-EU immigration?",1
174,42439,1013,"How does the opposition to quotas for refugees policies from certain EU countries coexist with the EU ""free movement of people inside EU"" policies?","What does European Union ""freedom of movement"" mean, and how much can individual countries restrict intra-EU immigration?",1
175,47341,1013,Is intra-EU movement/migration of EU/EUAA citizens a sizeable contributor to illegal work?,"What does European Union ""freedom of movement"" mean, and how much can individual countries restrict intra-EU immigration?",1
176,1012,1016,Can Social Security in USA be funded outside of FICA taxes?,What was the legal justification for H.R.2419 (protection of social security)?,1
177,1016,1012,What was the legal justification for H.R.2419 (protection of social security)?,Can Social Security in USA be funded outside of FICA taxes?,1
178,1019,760,"Repaying high debt in a country, without get ruined, is it possible? Example?",What are the practical effects of having too large a debt load?,1
179,1056,1057,Where did all this deficit come from?,What is the current impact of TARP (bank bailout) on US deficit?,1
180,1056,1066,Where did all this deficit come from?,"What is this ""Other"" category of US federal spending and why is it so high compared to 2008?",1
181,1066,1056,"What is this ""Other"" category of US federal spending and why is it so high compared to 2008?",Where did all this deficit come from?,1
182,1078,1080,Does the US 2013 sequester affect politicians own salaries and benefits?,"If a bill was referred to a Committee, and died there, is there a way to tell what happened?",1
183,16633,1080,Are there any procedural advantages to indefinitely delaying or canceling a vote on a bill?,"If a bill was referred to a Committee, and died there, is there a way to tell what happened?",1
184,1080,1078,"If a bill was referred to a Committee, and died there, is there a way to tell what happened?",Does the US 2013 sequester affect politicians own salaries and benefits?,1
185,1126,1139,Is it true that the US president can execute anyone without a trial?,Does Geneva Convention apply to countries which aren't signatories?,1
186,1130,26395,"For the U.S. Christian Right, are Sunday store openings an issue?",Why do some countries forbid working on Sunday rather than strictly regulating it?,1
187,15044,26395,How easy is it to implement a National Sunday Law?,Why do some countries forbid working on Sunday rather than strictly regulating it?,1
188,1130,15044,"For the U.S. Christian Right, are Sunday store openings an issue?",How easy is it to implement a National Sunday Law?,1
189,26395,15044,Why do some countries forbid working on Sunday rather than strictly regulating it?,How easy is it to implement a National Sunday Law?,1
190,1146,1147,What law compels countries to take prisoners who wish to surrender?,What law compels countries to take prisoners who are NOT trying to surrender?,1
191,1146,1126,What law compels countries to take prisoners who wish to surrender?,Is it true that the US president can execute anyone without a trial?,1
192,1147,1126,What law compels countries to take prisoners who are NOT trying to surrender?,Is it true that the US president can execute anyone without a trial?,1
193,1147,1146,What law compels countries to take prisoners who are NOT trying to surrender?,What law compels countries to take prisoners who wish to surrender?,1
194,1211,33257,Why is denying global warming associated with conservatives?,"If conservatism believes in individualism, then why do conservatives often support regulation of personal decisions?",1
195,33313,33257,Why is abortion considered an individualist dilemma?,"If conservatism believes in individualism, then why do conservatives often support regulation of personal decisions?",1
196,33573,33257,Why isn't it a woman's choice to be a prostitute?,"If conservatism believes in individualism, then why do conservatives often support regulation of personal decisions?",1
197,1211,9525,Why is denying global warming associated with conservatives?,Why don't many of the Republicans in the House and Senate believe in climate change?,1
198,39219,9525,How can half agree with the 3 percent of research that can't,Why don't many of the Republicans in the House and Senate believe in climate change?,1
199,39219,9525,How can half agree with the 3 percent of research that can't,Why don't many of the Republicans in the House and Senate believe in climate change?,1
200,1237,174,What governmental power does the Monarch hold in Great Britain in practice?,Why don't British kings and queens veto laws?,1
201,14237,174,"Can the UK parliament push a legislation, actively opposed by the Queen?",Why don't British kings and queens veto laws?,1
202,18208,174,Power of Monarchs,Why don't British kings and queens veto laws?,1
203,18208,174,Power of Monarchs,Why don't British kings and queens veto laws?,1
204,20334,174,Could the Queen have stopped Brexit?,Why don't British kings and queens veto laws?,1
205,29784,174,Can the crown veto constitutional Amendments in Canada?,Why don't British kings and queens veto laws?,1
206,44036,174,Can the Queen refuse to suspend the Parliament?,Why don't British kings and queens veto laws?,1
207,1260,1269,Would the expanded background checks have prevented past shooting incidents?,What are the practical downsides of background checks for gun purchases?,1
208,11410,1269,What are the political obstacles for gun control legislation in the United States?,What are the practical downsides of background checks for gun purchases?,1
209,1460,1443,Is It Illegal For The IRS To Target Groups Based On Political Views?,Why is targeted scrutiny from the IRS bad?,1
210,1571,345,What triggered the war in Iraq?,What evidence did the Bush administration have that Iraq stored WMD?,1
211,2883,345,How much lives could they've saved if they would have used war money in health?,What evidence did the Bush administration have that Iraq stored WMD?,1
212,11194,345,Does the UK still use propaganda?,What evidence did the Bush administration have that Iraq stored WMD?,1
213,14866,345,What was the Bush administration's public explanation on Iraq invasion when they failed to find Iraq's WMDs?,What evidence did the Bush administration have that Iraq stored WMD?,1
214,14866,345,What was the Bush administration's public explanation on Iraq invasion when they failed to find Iraq's WMDs?,What evidence did the Bush administration have that Iraq stored WMD?,1
215,1579,1586,How is the employment rate defined for OECD countries?,Why is Sweden's employment rate so high?,1
216,1585,1586,How is an employed person defined for OECD countries?,Why is Sweden's employment rate so high?,1
217,1579,1585,How is the employment rate defined for OECD countries?,How is an employed person defined for OECD countries?,1
218,1586,1585,Why is Sweden's employment rate so high?,How is an employed person defined for OECD countries?,1
219,1585,1579,How is an employed person defined for OECD countries?,How is the employment rate defined for OECD countries?,1
220,1586,1579,Why is Sweden's employment rate so high?,How is the employment rate defined for OECD countries?,1
221,1613,353,"When and how did the term ""liberal"" acquire a leftist/socialist meaning in the US?",What is the difference between liberalism and libertarianism?,1
222,2997,353,Why is Jeremy Bentham considered Liberal?,What is the difference between liberalism and libertarianism?,1
223,18664,353,Why are there so few politicians on the bottom right of the political spectrum?,What is the difference between liberalism and libertarianism?,1
224,19079,353,"Did the concept of liberalism become a ""misnomer""?",What is the difference between liberalism and libertarianism?,1
225,23757,353,Do feminists oppose sex-selective abortion?,What is the difference between liberalism and libertarianism?,1
226,1613,1041,"When and how did the term ""liberal"" acquire a leftist/socialist meaning in the US?",Has there been a sustained period of conservatism in the US?,1
227,10028,1041,When and why did the American Republican Party become widely supported in the South?,Has there been a sustained period of conservatism in the US?,1
228,1622,940,What laws cover the transit areas of international airports?,What level of autonomy do regions within the Russian Federation have?,1
229,1628,365,What is considered due process of law in the 5th amendment in the US Constitution?,"How does DOMA get around the ""Full Faith and Credit"" clause to the Constitution?",1
230,1628,1632,What is considered due process of law in the 5th amendment in the US Constitution?,Does the DOMA fifth amendment protections extend to religious members and unequal treatment by the IRS?,1
231,1660,1672,What share of federal taxes do the rich pay?,What share of federal tax breaks do the rich get?,1
232,1671,1660,What are the benefits/drawbacks of a weighted vote based upon federal taxes paid?,What share of federal taxes do the rich pay?,1
233,2284,1660,Is the Affordable Care Act a regressive tax (who is most affected)?,What share of federal taxes do the rich pay?,1
234,2663,1660,"In the US how does the 13th amendment, 16th amendment work simultaneously with life, liberty and the pursuit of happiness?",What share of federal taxes do the rich pay?,1
235,2941,1660,Is modern wealth disparity a mitigated form of noble priviledge?,What share of federal taxes do the rich pay?,1
236,16849,1660,"What is ""politology""?",What share of federal taxes do the rich pay?,1
237,1671,1816,What are the benefits/drawbacks of a weighted vote based upon federal taxes paid?,"Is there any evidence that giving cash to poor people is ""better"" than giving in-kind goods?",1
238,2439,1816,"Why is there concern about the growing income gap, and is there an ideal level?","Is there any evidence that giving cash to poor people is ""better"" than giving in-kind goods?",1
239,9812,1816,Can providing a basic income to a subset of poor citizens benefit the government politically?,"Is there any evidence that giving cash to poor people is ""better"" than giving in-kind goods?",1
240,1683,1684,Can a U.S. Judge be removed for being wrong most of the time?,Do any of the judges in USA (any jurisdiction) have to run for re-election?,1
241,1809,1577,Why is the Obama administration's counter-terrorism policies different to what was promised?,What has Barack Obama done regarding torture and indefinite detention?,1
242,6490,1577,"With regards to the war on terror, did the Obama administration stop torturing?",What has Barack Obama done regarding torture and indefinite detention?,1
243,1919,222,What are the guarantees that international debt will be payed back ever?,Are there any negative consequences for a country having no debt?,1
244,1995,1789,Non-Biased Listing of Party Accomplishments,What other types of votes are there than roll call votes?,1
245,2051,2077,How is the Venus Project resource-based economy different than communism?,What are the origins of non-aggression politics within liberalism?,1
246,2061,1769,Reducing Corporate Influence in Politics,What is the justification for allowing elected officials to accept money from corporations?,1
247,4972,1769,Why does the US allow political campaign advertising?,What is the justification for allowing elected officials to accept money from corporations?,1
248,9907,1769,Why are big tech companies Bernie Sanders' top donors?,What is the justification for allowing elected officials to accept money from corporations?,1
249,2077,2078,What are the origins of non-aggression politics within liberalism?,What is the theoretical content of the terms used in non-aggression discourse within liberal politics?,1
250,2080,756,How is Obamacare still functioning with no budget?,What percentage of federal U.S. government employees are considered non-essential during a governmnent shutdown?,1
251,2124,756,Are US politicians still paid a salary when they cause a government shutdown?,What percentage of federal U.S. government employees are considered non-essential during a governmnent shutdown?,1
252,2101,890,If the US Debt Ceiling is not raised what happens to Mandatory/Discretioary spending?,What is the debt ceiling and what happens if we reach it?,1
253,2107,2151,Would the reduction in spending due to an indefinite government shutdown eliminate the deficit?,How much has government spending increased/decreased in relation to the median households income since 2000?,1
254,2212,2151,How (and how much) does the government shutdown affect the budget deficit,How much has government spending increased/decreased in relation to the median households income since 2000?,1
255,2124,2115,Are US politicians still paid a salary when they cause a government shutdown?,Will government workers furloughed during the shutdown be paid later?,1
256,37522,2115,"Missing Headline ""Federal employee paid vacation celebrates not funding the wall""",Will government workers furloughed during the shutdown be paid later?,1
