,qid1,qid2,question1,question2,is_duplicate
33,65,1376,When does Ontario's HST come into effect?,"How will Ontario's HST apply to books / textbooks, which were PST exempt before?",1
34,65,645,When does Ontario's HST come into effect?,How can I minimize the impact of the HST?,1
35,65,1239,When does Ontario's HST come into effect?,How does Ontario's new HST affect a condominium purchase?,1
36,65,1238,When does Ontario's HST come into effect?,Will I need to pay HST on condo maintenance fees?,1
37,65,1164,When does Ontario's HST come into effect?,My Ontario small business collects only PST (beneath GST threshold). How will HST affect me?,1
38,99,7041,"Online money management applications: Do you trust Mint.com or Quicken Online, or other personal finance tools online?",Should I use Mint.com?  Is it secure / trusted?,1
39,102,15567,Where can I find an example of a really basic family budget?,"How to get started with savings, paying off debt, and retirement?",1
40,119,1821,What are the pitfalls of loaning money to friends or family? Is there a right way to do it?,What do you do when a family member won't pay you back?,1
41,120,39219,Canada Universal Child Care Benefit (UCCB): $100/month per child under age 6 from the government. Is it true?,How are Canada Universal Child Care Benefit (UCCB) & related tax measures changing in 2015?,1
42,147,517,How much would be a fair raise or salary increase to ask for at work?,How much is inflation?,1
43,1793,517,Is inflation a good or bad thing? Why do governments want some inflation?,How much is inflation?,1
44,8973,517,How to translate old price amounts to their modern day equivalents?,How much is inflation?,1
45,150,8025,Can I withdraw from my Roth IRA retirement account to fund a startup?,Can I use my Roth IRA to start a business?,1
46,269,44,Should I have an RRSP on top of a pension?,TFSA vs. RRSP... Best retirement approach,1
47,6799,44,"How can I determine which is right for me, RRSP or TFSA, if any at all?",TFSA vs. RRSP... Best retirement approach,1
48,274,268,How much is college / university projected to cost in the U.S. in 18 years?,How much is university projected to cost in Canada in 18 years?,1
49,337,119,Should you co-sign a personal loan for a friend/family member? Why/why not?,What are the pitfalls of loaning money to friends or family? Is there a right way to do it?,1
50,11858,119,Which jurisdictions levy a tax on depositum irregulare?,What are the pitfalls of loaning money to friends or family? Is there a right way to do it?,1
51,23921,119,What considerations are there for making investments on behalf of a friend?,What are the pitfalls of loaning money to friends or family? Is there a right way to do it?,1
52,63395,119,Personal loan to a friend procedure,What are the pitfalls of loaning money to friends or family? Is there a right way to do it?,1
53,63802,119,Should I charge my children interest when they borrow money?,What are the pitfalls of loaning money to friends or family? Is there a right way to do it?,1
54,66450,119,Is this investment opportunity problematic?,What are the pitfalls of loaning money to friends or family? Is there a right way to do it?,1
55,75411,119,I'd like to loan my son and daughter-in-law money to pay off credit card and student loan debt,What are the pitfalls of loaning money to friends or family? Is there a right way to do it?,1
56,81757,119,Would it make sense to take a loan from a relative to pay off student loans?,What are the pitfalls of loaning money to friends or family? Is there a right way to do it?,1
57,114617,119,Can I cosign a car loan up to a limited amount?,What are the pitfalls of loaning money to friends or family? Is there a right way to do it?,1
58,358,12869,What does Chapter 11 Bankruptcy mean to an investor holding shares of a Chapter 11 Company?,What are my options for dealing with stock from a bankrupt company?,1
59,388,1434,"Is Real Estate ever a BAD investment? If so, when?",Should I wait until I have a 20 down payment to buy a home?,1
60,443,7616,"What size ""nest egg"" should my husband and I have, and by what age?",Saving for retirement: How much is enough?,1
61,1013,7616,What's the average nest egg (savings) for someone age 26? Website for comparison?,Saving for retirement: How much is enough?,1
62,7963,7616,help with asset allocation for an early-30s guy with an uncertain future?,Saving for retirement: How much is enough?,1
63,8319,7616,Ideal net worth by age X? Need comparison references,Saving for retirement: How much is enough?,1
64,9941,7616,How do you quantify investment risk?,Saving for retirement: How much is enough?,1
65,10034,7616,Some questions about investing,Saving for retirement: How much is enough?,1
66,14036,7616,"""One should save about 15 of their income for retirement."" What assumptions are implicit in that statement?",Saving for retirement: How much is enough?,1
67,15254,7616,How to calculate money needed for a retirement based on an hypothetical death date & expenses?,Saving for retirement: How much is enough?,1
68,22009,7616,"How much should I save each month so I can retire early, in my Third World country?",Saving for retirement: How much is enough?,1
69,23514,7616,How should one account for inflation when planning retirement savings and withdrawals?,Saving for retirement: How much is enough?,1
70,50448,7616,Saving when saving is really hard,Saving for retirement: How much is enough?,1
71,78845,7616,Can I still contribute to a traditional IRA if it is not deductible? Should I?,Saving for retirement: How much is enough?,1
72,83278,7616,"Can saving/investing 15 of your income starting age 25, likely make you a millionaire?",Saving for retirement: How much is enough?,1
73,115221,7616,How much money should I save in order to generate $1000/month for the rest of my life?,Saving for retirement: How much is enough?,1
74,522,468,How does the price of oil influence the value of currency?,How do currency markets work? What factors are behind why currencies go up or down?,1
75,10097,468,Does the currency exchange rate contain any additional information at all?,How do currency markets work? What factors are behind why currencies go up or down?,1
76,564,3029,What kinds of exchange-traded funds (ETFs) should specifically be avoided?,How do you short US Treasuries?,1
77,5641,3029,"Are there ways to hedge against a rise in interest rates, other than refinancing my loan?",How do you short US Treasuries?,1
78,6558,3029,How does a leveraged ETF track commodity prices?,How do you short US Treasuries?,1
79,6704,3029,"""Diversifying"" by going Long and Short Simultaneously",How do you short US Treasuries?,1
80,6908,3029,"How can I make money if I believe that interest rates will go up, other than by investing in real-estate or taking out a low-interest loan?",How do you short US Treasuries?,1
81,15081,3029,Where can I find ETFs that go up when the market goes down?,How do you short US Treasuries?,1
82,564,6704,What kinds of exchange-traded funds (ETFs) should specifically be avoided?,"""Diversifying"" by going Long and Short Simultaneously",1
83,15081,6704,Where can I find ETFs that go up when the market goes down?,"""Diversifying"" by going Long and Short Simultaneously",1
84,564,563,What kinds of exchange-traded funds (ETFs) should specifically be avoided?,What low-fee & liquid exchange-traded index funds / ETFs should I consider holding in a retirement portfolio?,1
85,6217,563,What should I be aware of as a young investor?,What low-fee & liquid exchange-traded index funds / ETFs should I consider holding in a retirement portfolio?,1
86,595,546,Are insurance payouts taxable in Canada?,How much life insurance do I need?,1
87,106695,546,Should I use Social Security survivors benefits in calculating the amount of life insurance needed?,How much life insurance do I need?,1
88,645,65,How can I minimize the impact of the HST?,When does Ontario's HST come into effect?,1
89,1224,65,"Ontario harmonized sales tax (HST) transition benefit rebate cheques / OSTTB: Who, when, how much?",When does Ontario's HST come into effect?,1
90,648,3438,"What are ""preferred"" stocks? How are they different from normal (common) stocks?",Where can I buy preferred stocks as opposed to common stocks?,1
91,706,23337,What is value investing? What are the key principles of value investing?,"How do brokers handle ""hidden"" stock orders?",1
92,751,744,UK income tax & charitable donations: How much is income tax reduced by donations?,Canadian income tax & charitable donations: How much is income tax reduced by donations?,1
93,758,41892,What are the important differences between mutual funds and Exchange Traded Funds (ETFs)?,Can an ETF perform differently than its holdings?,1
94,759,782,When will the U.K. convert to the Euro as an official currency?,When will Canada convert to the U.S. Dollar as an official currency?,1
95,773,502,"For a major expensive home renovation (e.g. addition, finished basement, or new kitchen) should one pay cash or finance with a loan? Would such a loan be ""good"" debt?",Home Renovations are expensive.. Should I only pay cash for them?,1
96,774,773,"What is the difference between ""good debt"" vs. ""bad debt""?","For a major expensive home renovation (e.g. addition, finished basement, or new kitchen) should one pay cash or finance with a loan? Would such a loan be ""good"" debt?",1
97,41724,773,Can I rely on my home equity to finance large home repairs?,"For a major expensive home renovation (e.g. addition, finished basement, or new kitchen) should one pay cash or finance with a loan? Would such a loan be ""good"" debt?",1
98,782,759,When will Canada convert to the U.S. Dollar as an official currency?,When will the U.K. convert to the Euro as an official currency?,1
99,804,1369,When should I start an LLC for my side work?,Sole proprietorship or LLC?,1
100,4159,1369,What are the tax benefits of a LLC vs a sole proprietorship?,Sole proprietorship or LLC?,1
101,809,1641,What are advantages & disadvantages of using a Peer-to-Peer lending site or network?,Compare and contrast lending services: Lending Club and Prosper?,1
102,826,6221,How can I profit on the Chinese Real-Estate Bubble?,Is it a good investment for a foreigner to purchase a flat/apartment in China?,1
103,854,115,Are credit card rewards taxable?,Are travel point / reward credit cards worth the hassle and cost?,1
104,3872,115,Are airline reward mile credit cards worth it?,Are travel point / reward credit cards worth the hassle and cost?,1
105,17051,115,Is it good to get 2 credit cards for different bonus?,Are travel point / reward credit cards worth the hassle and cost?,1
106,854,847,Are credit card rewards taxable?,Is there an easy way to compare store or credit card loyalty programs? How can I tell which is best?,1
107,951,39,"Hearing much about Dave Ramsey. Which of his works is best in describing his ""philosophy"" about money?","I've often heard of the ""snowball"" method for paying off credit card debt. How does it work?",1
108,3938,39,Extra payments toward mortgage or student loans?,"I've often heard of the ""snowball"" method for paying off credit card debt. How does it work?",1
109,5075,39,Expected rate for unsecured consolidation loan + where to apply?,"I've often heard of the ""snowball"" method for paying off credit card debt. How does it work?",1
110,48509,39,Is it better to pay off a loan with a higher interest rate or one with a much higher principal balance?,"I've often heard of the ""snowball"" method for paying off credit card debt. How does it work?",1
111,52206,39,Student Loan Repayment,"I've often heard of the ""snowball"" method for paying off credit card debt. How does it work?",1
112,951,492,"Hearing much about Dave Ramsey. Which of his works is best in describing his ""philosophy"" about money?","Saving $1,000+ per month…what should I do with it?",1
113,951,632,"Hearing much about Dave Ramsey. Which of his works is best in describing his ""philosophy"" about money?","At what age should I begin discussing money - saving, spending, investing - with my child / children?",1
114,29752,632,How do I discuss charitable contributions with a difficult Significant Other?,"At what age should I begin discussing money - saving, spending, investing - with my child / children?",1
115,951,921,"Hearing much about Dave Ramsey. Which of his works is best in describing his ""philosophy"" about money?",Where can I park my rainy-day / emergency fund? Savings accounts don't generate much interest,1
116,1526,921,Where should I park my rainy-day / emergency fund?,Where can I park my rainy-day / emergency fund? Savings accounts don't generate much interest,1
117,2696,921,Where to park money while saving for a car,Where can I park my rainy-day / emergency fund? Savings accounts don't generate much interest,1
118,7764,921,Importance of liquidity in emergency fund?,Where can I park my rainy-day / emergency fund? Savings accounts don't generate much interest,1
119,8637,921,Where should I store some cash that I need to be somewhat liquid?,Where can I park my rainy-day / emergency fund? Savings accounts don't generate much interest,1
120,12834,921,Roth IRA = Emergency Fund. Any Safe Investments?,Where can I park my rainy-day / emergency fund? Savings accounts don't generate much interest,1
121,48435,921,Can I earn more on my cash savings and still keep it liquid and low risk?,Where can I park my rainy-day / emergency fund? Savings accounts don't generate much interest,1
122,48435,921,Can I earn more on my cash savings and still keep it liquid and low risk?,Where can I park my rainy-day / emergency fund? Savings accounts don't generate much interest,1
123,66711,921,What type of an account to store emergency fund?,Where can I park my rainy-day / emergency fund? Savings accounts don't generate much interest,1
124,66711,921,What type of an account to store emergency fund?,Where can I park my rainy-day / emergency fund? Savings accounts don't generate much interest,1
125,992,22,Group (pooled) RESP plans in Canada: Education savings advantages & disadvantages?,What are the best options for an RESP for my 2 year old kid?,1
126,1012,359,Is there a free online credit report service in Canada?,How can one get their FICO/credit scores for free? (really free),1
127,2573,359,How can I check my credit score?,How can one get their FICO/credit scores for free? (really free),1
128,30612,359,Do lenders usually do multiple credit inquiries only a month apart?,How can one get their FICO/credit scores for free? (really free),1
129,1014,99,Are bank customers allowed to provide username & password to sites like Mint.com?,"Online money management applications: Do you trust Mint.com or Quicken Online, or other personal finance tools online?",1
130,7041,99,Should I use Mint.com?  Is it secure / trusted?,"Online money management applications: Do you trust Mint.com or Quicken Online, or other personal finance tools online?",1
131,7041,99,Should I use Mint.com?  Is it secure / trusted?,"Online money management applications: Do you trust Mint.com or Quicken Online, or other personal finance tools online?",1
132,97274,99,Sugar daddy wants my online banking login info to make deposits — is it a scam?,"Online money management applications: Do you trust Mint.com or Quicken Online, or other personal finance tools online?",1
133,1021,804,What are the benefits and downsides to an LLC vs. Sole Proprietorship vs. Individiual?,When should I start an LLC for my side work?,1
134,1369,804,Sole proprietorship or LLC?,When should I start an LLC for my side work?,1
135,49362,804,Where should I start my LLC?,When should I start an LLC for my side work?,1
136,72520,804,"How do multiple people accept payment for work, without one person being ""bank""?",When should I start an LLC for my side work?,1
137,103907,804,How much should I earn before registering an LLC?,When should I start an LLC for my side work?,1
138,103907,804,How much should I earn before registering an LLC?,When should I start an LLC for my side work?,1
139,1033,989,"Which US market indexes (Dow/DJIA, S&P500, NASDAQ) include reinvested dividends?",Good at investing - how to turn this into a job?,1
140,1044,337,"Someone asks you to co-sign a loan. How to reject & say ""no"" nicely or politely?",Should you co-sign a personal loan for a friend/family member? Why/why not?,1
141,1702,337,"If I co-sign a loan, does it affect my own ability to borrow due to the debt-to-income ratio?",Should you co-sign a personal loan for a friend/family member? Why/why not?,1
142,66311,337,I cosigned for a friend who is not paying the payment,Should you co-sign a personal loan for a friend/family member? Why/why not?,1
143,1044,996,"Someone asks you to co-sign a loan. How to reject & say ""no"" nicely or politely?","If I co-sign on a loan for someone, am I putting up money (is there a cost)?",1
144,1070,4996,What should I be doing to protect myself from identity theft?,How do I freeze my credit?,1
145,11492,4996,Lost ID and Identity Theft,How do I freeze my credit?,1
146,13501,4996,Are credit monitoring services worth the monthly fee?,How do I freeze my credit?,1
147,26809,4996,Any reason to be cautious of giving personal info to corporate fraud departments?,How do I freeze my credit?,1
148,43207,4996,Got Notice My Personal Information May be Compromised,How do I freeze my credit?,1
149,54673,4996,Who are the consumer credit reporting agencies in Canada?,How do I freeze my credit?,1
150,54676,4996,"Are ""credit freezes"" possible in Canada?",How do I freeze my credit?,1
151,1070,84900,What should I be doing to protect myself from identity theft?,How should I protect myself from the Equifax breach without making my own life much harder?,1
152,1485,84900,What strategies could be employed so as to avoid identity theft and credit card frauds?,How should I protect myself from the Equifax breach without making my own life much harder?,1
153,26933,84900,What can a customer do to reduce damage from a data breach?,How should I protect myself from the Equifax breach without making my own life much harder?,1
154,1076,699,"Received email from credit card company: ""URGENT: Your Master Card SecureCode Password has expired!"" Is it legitimate?","I received an email from my credit card company titled ""URGENT: Your VbV VISA Password has expired!"" Is it legitimate?",1
155,1107,1061,Can you calculate the ROI on your credit score?,"Take new loan to pay off old one, what would you do in this scenario?",1
156,1176,14081,Why should I invest my money in a life insurance policy?,Comparing Life Insurance Proposals,1
157,1190,3130,"I just moved to the United States. What should I do to develop a good credit rating, fast?",Relocated to USA. How to get credit card without existing credit history / score?,1
158,1202,64491,Should I keep a credit card open to maintain my credit score?,Is it ever a good idea to close credit cards?,1
159,54167,64491,"If Sears is canceling my account that hasn't been used in years, will it hurt my credit score?",Is it ever a good idea to close credit cards?,1
160,58253,64491,Does closing accounts lower one's credit score?,Is it ever a good idea to close credit cards?,1
161,66497,64491,Automatic transaction on credit card to stay active,Is it ever a good idea to close credit cards?,1
162,67769,64491,Closing a credit card with no debt to avoid annual fee,Is it ever a good idea to close credit cards?,1
163,74783,64491,Impact of downgrading a credit card on credit history (specifically avg age of account)?,Is it ever a good idea to close credit cards?,1
164,75709,64491,"Does having multiple credit cards contribute to ""credit mix""?",Is it ever a good idea to close credit cards?,1
165,79735,64491,Worth canceling an old Amex Charge Card Account?,Is it ever a good idea to close credit cards?,1
166,79781,64491,"Switching Banks, Switch Credit Cards, too?",Is it ever a good idea to close credit cards?,1
167,80545,64491,"Should I cancel my first of five cards, which has a $300 limit?",Is it ever a good idea to close credit cards?,1
168,81253,64491,How to recover from credit score hit from paying off loan?,Is it ever a good idea to close credit cards?,1
169,83546,64491,Credit card accounts and credit score,Is it ever a good idea to close credit cards?,1
170,83546,64491,Credit card accounts and credit score,Is it ever a good idea to close credit cards?,1
171,88089,64491,"How will ""Final"" closing down affect my credit score?",Is it ever a good idea to close credit cards?,1
172,88089,64491,"How will ""Final"" closing down affect my credit score?",Is it ever a good idea to close credit cards?,1
173,93312,64491,Should I make small monthly purchases on ALL six of my credit cards and then pay off in full each month?,Is it ever a good idea to close credit cards?,1
174,1210,83,What expenses should be covered by an emergency fund,Is there a good rule of thumb for how much I should have set aside as emergency cash?,1
175,4711,83,How much is appropriate for an emergency fund?,Is there a good rule of thumb for how much I should have set aside as emergency cash?,1
176,4711,83,How much is appropriate for an emergency fund?,Is there a good rule of thumb for how much I should have set aside as emergency cash?,1
177,6444,83,Put money in savings or pay towards mortgage?,Is there a good rule of thumb for how much I should have set aside as emergency cash?,1
178,7764,83,Importance of liquidity in emergency fund?,Is there a good rule of thumb for how much I should have set aside as emergency cash?,1
179,14195,83,How much in cash equivalents should I keep in the bank?,Is there a good rule of thumb for how much I should have set aside as emergency cash?,1
180,14195,83,How much in cash equivalents should I keep in the bank?,Is there a good rule of thumb for how much I should have set aside as emergency cash?,1
181,30738,83,What percent of my salary should I save?,Is there a good rule of thumb for how much I should have set aside as emergency cash?,1
182,36898,83,How much cash on hand should one have?,Is there a good rule of thumb for how much I should have set aside as emergency cash?,1
183,47748,83,Is there an advantage to keeping a liquid emergency fund if one also has an untapped line of credit?,Is there a good rule of thumb for how much I should have set aside as emergency cash?,1
184,81729,83,How much money should I lock up in my savings account?,Is there a good rule of thumb for how much I should have set aside as emergency cash?,1
185,1258,1256,Why would you ever turn down a raise in salary?,Is it true that Income Tax was created to finance troops for World War I?,1
186,1281,1279,Do companies that get taken-over have to honour the old gift card/certificate?,Do gift cards expire? Does a gift certificate's value depreciate? How long can I keep them for?,1
187,1289,47,Why do wholesale clubs charge annual memberships?,Are warehouse clubs like Costco and Sam's Club worth it?,1
188,1320,147,Working at same place 2 years & my colleagues got a salary increase but I didn't. Should I ask my boss why?,How much would be a fair raise or salary increase to ask for at work?,1
189,1351,102,How should I make a budget?,Where can I find an example of a really basic family budget?,1
190,17039,102,How can I come up with a good personal (daily) budget?,Where can I find an example of a really basic family budget?,1
191,1385,619,Why does demand for stock rise when a company appears to have high future value?,Why does a company pay dividends at all?,1
192,48633,619,Why is it in a company’s interest to have high stock prices?,Why does a company pay dividends at all?,1
193,57486,619,Should I buy stocks of my current employer because of its high dividend yield?,Why does a company pay dividends at all?,1
194,59167,619,Question about dividends and giant companies,Why does a company pay dividends at all?,1
195,59167,619,Question about dividends and giant companies,Why does a company pay dividends at all?,1
196,117327,619,Why do tobacco companies pay huge dividends?,Why does a company pay dividends at all?,1
197,1408,1401,Which investment option provides the best income tax benefit? [Canada],How do I use investments to lower my taxes [US]?,1
198,1469,1010,What impact does the new mortgage rules have on CMHC policies? [Canada],"Canada: New mortgage qualification rules, 2010: Why, what, & when in effect?",1
199,1502,913,"Investing in foreign CDs, is it worth the risk?",How easy is it for people from Nepal to open a foreign bank account via the internet?,1
200,4778,913,Has anyone invested with Privatiers? Is it legitimate?,How easy is it for people from Nepal to open a foreign bank account via the internet?,1
201,1508,947,What's a good personal finance management web app that I can use in Canada?,Which non-bank-specific online money management applications work for Canadian banks?,1
202,1551,1541,Do personal checks expire? [US],Do personal cheques expire? [Canada],1
203,1581,92051,Can I claim a UK or foreign charity donation as tax deductible in Canada?,Are dual US-Canadian citizens in Canada required to pay US taxes on their donations to Canadian charities?,1
204,93298,92051,Can donations to Canadian charities be claimed on US taxes?,Are dual US-Canadian citizens in Canada required to pay US taxes on their donations to Canadian charities?,1
205,1616,1106,What happens if I co-sign a loan and the borrower or debtor dies?,Co-signing & dying: What if a loan co-signer dies? Is estate of co-signer liable?,1
206,113351,1106,My Car is up for repo my grandfather is a co signer,Co-signing & dying: What if a loan co-signer dies? Is estate of co-signer liable?,1
207,113351,1106,My Car is up for repo my grandfather is a co signer,Co-signing & dying: What if a loan co-signer dies? Is estate of co-signer liable?,1
208,1636,43305,How do you find the credit card with the best rewards/points? [US],"There are 2 cash back (on all purchases) business credit cards, are there ones for individuals?",1
209,1684,1676,What is the least valuable unit of actively used currency that is coined or printed?,I've heard pennies are being phased out in Canada. Is this true?,1
210,1692,9829,"Will the Ontario HST rebates be direct deposited, or mailed, or both in June 2010 and 2011?","Ontario HST Rebate: What was the mailing date of the June, 2011 HST rebate cheque?",1
211,1726,647,Can warrants to buy stock contain conditions or stipulations other than price?,What is a stock warrant? How do warrants work?,1
212,1767,10939,Why does gold have value?,Is the gold and silver in the GLD and SLV ETFs leveraged?,1
213,5828,10939,Relationship between silver and gold prices historically,Is the gold and silver in the GLD and SLV ETFs leveraged?,1
214,1854,1718,Ontario HST rebate: Do you still get the HST cheque if only one spouse has filed their taxes?,Ontario Sales Tax Transition Benefit: Can you still get first cheque even if 2009 taxes are filed later?,1
215,2141,2026,Will there be enough money in Social Security benefits to cover baby boomer retirement? [US],Will there be enough money in the Canada Pension Plan (CPP) to cover baby boomer retirement?,1
216,2195,1666,What forms of payment am I compelled to accept?,Is there a limit on the dollar amount of a personal check?,1
217,84833,1666,How to pay with cash when car shopping?,Is there a limit on the dollar amount of a personal check?,1
218,103246,1666,"The alternatives to checks, credit cards, and cash, for transactions",Is there a limit on the dollar amount of a personal check?,1
219,2255,209,How to sell jewelery without getting ripped off?,"If I have some old gold jewellery, is it worth it to sell it for its melt value?",1
220,10182,209,"Where can I sell some gold ounce bars I own, without getting screwed?","If I have some old gold jewellery, is it worth it to sell it for its melt value?",1
221,2314,1625,How to invest after 401k and Roth IRA are maxed?,"Best way to start investing, for a young person just starting their career?",1
222,5953,1625,How to get started with the stock market?,"Best way to start investing, for a young person just starting their career?",1
223,5953,1625,How to get started with the stock market?,"Best way to start investing, for a young person just starting their career?",1
224,7662,1625,Book or web site resources for an absolute beginner to learn about stocks and investing?,"Best way to start investing, for a young person just starting their career?",1
225,8600,1625,"For the first time in my life, I'm going to be making real money...what should I do with it?","Best way to start investing, for a young person just starting their career?",1
226,9905,1625,A University student wondering if investing in stocks is a good idea?,"Best way to start investing, for a young person just starting their career?",1
227,10128,1625,Guidance: New to stock market thing,"Best way to start investing, for a young person just starting their career?",1
228,11164,1625,Advice for a beginner investor interested in trading stocks and derivatives online?,"Best way to start investing, for a young person just starting their career?",1
229,11704,1625,What are the options for a 19-year-old college student who only has about $1000?,"Best way to start investing, for a young person just starting their career?",1
230,13120,1625,When should I start saving/investing for my retirement?,"Best way to start investing, for a young person just starting their career?",1
231,13240,1625,"I turn 18 in a month, what should I invest in?","Best way to start investing, for a young person just starting their career?",1
232,14207,1625,Investment for beginners in the United Kingdom,"Best way to start investing, for a young person just starting their career?",1
233,23115,1625,How to start investing/thinking about money as a young person?,"Best way to start investing, for a young person just starting their career?",1
234,29163,1625,Investment for young expatriate professionals,"Best way to start investing, for a young person just starting their career?",1
235,30197,1625,Best way to get started as a young engineer student trying to get into the financial world,"Best way to start investing, for a young person just starting their career?",1
236,30197,1625,Best way to get started as a young engineer student trying to get into the financial world,"Best way to start investing, for a young person just starting their career?",1
237,30391,1625,Best way to invest money as a 22 year old?,"Best way to start investing, for a young person just starting their career?",1
238,30995,1625,"What is the best use of ""spare"" money?","Best way to start investing, for a young person just starting their career?",1
239,41963,1625,EU Start investing for longterm with partner who joins saving in a few years,"Best way to start investing, for a young person just starting their career?",1
240,47134,1625,Start Investing - France,"Best way to start investing, for a young person just starting their career?",1
241,49912,1625,How should I invest my money as a young graduate in Europe?,"Best way to start investing, for a young person just starting their career?",1
242,54459,1625,How to Start Investing,"Best way to start investing, for a young person just starting their career?",1
243,54459,1625,How to Start Investing,"Best way to start investing, for a young person just starting their career?",1
244,56420,1625,Best personal finance strategy to control my balance,"Best way to start investing, for a young person just starting their career?",1
245,57959,1625,How to start investing for an immigrant?,"Best way to start investing, for a young person just starting their career?",1
246,62147,1625,Looking for advice on my first investment,"Best way to start investing, for a young person just starting their career?",1
247,62147,1625,Looking for advice on my first investment,"Best way to start investing, for a young person just starting their career?",1
